"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"Ubicquia","Feb 23, 2026","$237,930,260","Not Started","Artificial Intelligence (AI), Infrastructure, Smart Cities","Fort Lauderdale, Florida, United States","Ubicquia provides smart streetlighting systems that enhance urban infrastructure through advanced technology and data-driven insights.","249","http://www.ubicquia.com/","$10M to $50M","67 Capital, Hamilton Lane, ClearSky, Fuel Venture Capital, Marunouchi Innovation Partners","67 Capital, Fuel Venture Capital, Marunouchi Innovation Partners"
"SambaNova","Feb 9, 2026","$1,491,254,686","Not Started","AI Infrastructure, Analytics, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Palo Alto, California, United States","SambaNova is an AI hardware and software company that specializes in providing infrastructure for AI and machine learning applications.","261","https://sambanova.ai/","—","Vista Equity Partners, BlackRock, Temasek Holdings, Battery Ventures, Mayfield Fund","BlackRock, Cambium Capital Partners, Celesta Capital, Google Ventures, Intel Capital, SoftBank Vision Fund, Vista Equity Partners, Walden International"
"The Boring Company","Mar 2, 2026","$916,500,000","Not Started","Construction, Infrastructure, Transportation","Pflugerville, Texas, United States","The Boring Company engages in constructing underground transportation networks.","262","https://www.boringcompany.com/","—","Valor Equity Partners, Sequoia Capital, 8VC, Craft Ventures, Founders Fund","Sequoia Capital, Vy Capital"
"Natilus","Feb 10, 2026","$28,750,000","Not Started","Aerospace, Air Transportation, Manufacturing","San Diego, California, United States","Natilus is develops a hyper-efficient blended wing body aircraft aimed at making commercial aviation more sustainable and efficient.","264","http://natilus.co/","$1M to $10M","Draper Associates, Liquid 2 Ventures, Flexport, Capital Factory, Type One Ventures","Draper Associates"
"Axelera AI","Feb 24, 2026","$487,988,247","Not Started","AI Infrastructure, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Eindhoven, Noord-Brabant, The Netherlands","Axelera AI develops purpose-built AI hardware acceleration technology for computer vision and generative AI applications.","265","https://www.axelera.ai/","—","BlackRock, CDP Venture Capital, Verve Ventures, Innovation Industries, Invest-NL","Bitfury Group, CDP Venture Capital, EIC Scaling Club, EuroHPC Joint Undertaking, Innovation Industries, Invest-NL, Netherlands Enterprise Agency"
"Inertia","Feb 11, 2026","$450,000,000","Not Started","Clean Energy, Energy Management, Power Grid, Renewable Energy","San Francisco, California, United States","Inertia is a fusion-energy company that builds and generates commercialized fusion powers.","269","https://inertia.com/","—","Bessemer Venture Partners, Long Journey Ventures, Uncork Capital, Neo, Threshold","Bessemer Venture Partners"
"ZaiNar","Feb 19, 2026","$116,663,570","Not Started","Artificial Intelligence (AI), Information Technology, Mobile, Real Time, Software","Belmont, California, United States","ZaiNar develops real-time 3D location and positioning solutions using patented signal processing and network timing techniques.","270","http://zainartech.com/","—","Friends & Family Capital, Samsung NEXT, Alchemist Accelerator, Jaan Tallinn, Steve Jurvetson","gbeta, Happiness Ventures"
"Slang","Feb 24, 2026","$56,000,000","Not Started","Artificial Intelligence (AI), Customer Service, Internet, Reservations","New York, New York, United States","Slang AI offers a virtual phone agent that operates continuously, answering calls and booking reservations for restaurants.","283","https://www.slang.ai/","$1M to $10M","Stage 2 Capital, Collide Capital, Underscore VC, Wing Venture Capital, Thayer Investment Partners","Homebrew, Thayer Investment Partners, Underscore VC"
"Quantum Systems","Feb 12, 2026","$775,724,608","Not Started","Aerospace, Artificial Intelligence (AI), Drones, Government, Manufacturing, Mapping Services","Gilching, Bayern, Germany","Quantum Systems builds AI-powered eVTOL drones for defense, security, and surveying, specializing in aerial intelligence solutions.","285","https://www.quantum-systems.com/","$100M to $500M","European Investment Bank, Balderton Capital, Deutsche Bank, KfW, HV Capital","10x Group, Balderton Capital, Bayern Kapital, DTCP, ESG, European Investment Bank, HV Capital, Notion Capital, Porsche Automobil Holding, T.Capital, U.S. Department of Defense"
"Avant","Feb 26, 2026","$2,279,000,000","Not Started","Consumer Lending, Finance, Financial Services, FinTech, Lending","Chicago, Illinois, United States","Avant is an online lending platform that offers alternatives to its clients with safe financial products.","293","https://www.avant.com/","$100M to $500M","General Atlantic, QED Investors, Founders Fund, Tiger Global Management, DFJ Growth","Ares Management, August Capital, General Atlantic, Jefferies, Kohlberg Kravis Roberts & Co., Pamlico Capital, Tiger Global Management, Victory Park Capital, WebBank"
"YouLend","Mar 3, 2026","$225,000,000","Not Started","Financial Services, FinTech","London, England, United Kingdom","YouLend is the leading global embedded financing platform for the world’s top e-commerce platforms, tech companies and PSPs.","294","https://youlend.com/","$100M to $500M","Allianz Global Investors, JP Morgan, Varde Partners, Castlelake","Castlelake, JP Morgan, Varde Partners"
"Algorized","Feb 10, 2026","$17,300,000","Not Started","Artificial Intelligence (AI), Embedded Software, Sensor, Software","Lausanne, Vaud, Switzerland","Algorized develops software that enables people detection, positioning, and vital sign sensing using existing wireless sensors.","296","https://www.algorized.com/","$1M to $10M","International Institute for Management Development, Monte Carlo Capital, Berkeley SkyDeck Fund, Innovaud, Acrobator Ventures","Amazon Industrial Innovation Fund, Innovaud, International Institute for Management Development, Run Ventures"
"PLD Space","Mar 4, 2026","€302,434,366","Not Started","Aerospace, Manufacturing, Space Travel","Elche, Comunidad Valenciana, Spain","PLD Space is a space transportation company that designs, builds, tests and operates launch vehicles for suborbital and orbital missions.","298","http://pldspace.com/","$1M to $10M","Santander, Cofides, Nazca Capital, JME Ventures, Arcano","Aciturri, Arcano, CDTI, Centre for the Development of Industrial Technology (CDTI), Cofides, EBN Banco de Negocios, Instituto de Credito, Mitsubishi Electric, Santander"
"Pat McGrath Labs","Feb 17, 2026","$90,000,000","Not Started","Fashion","New York, New York, United States","Pat McGrath Labs is a makeup brand created by Pat McGrath","302","https://www.patmcgrath.com/","$50M to $100M","Eurazeo, ONE Luxury Group, GDA Luma","Eurazeo, GDA Luma, ONE Luxury Group"
"Harper","Feb 25, 2026","$47,500,000","Not Started","Artificial Intelligence (AI), FinTech, Insurance, InsurTech","San Francisco, California, United States","Harper is a commercial E&S insurance brokerage that utilizes an AI-native technology stack to streamline the insurance process.","312","https://www.harperinsure.com/","—","Peak XV Partners, Antler, Emergence Capital, Y Combinator, Pioneer Fund","Emergence Capital, Y Combinator"
"Fundamental","Feb 5, 2026","$255,000,000","Not Started","Artificial Intelligence (AI), Foundational AI, Software","San Francisco, California, United States","Fundamental is an AI research company that focuses on overcoming the fundamental challenges of machine learning.","315","https://fundamental.tech/","—","Valor Equity Partners, Headline, Salesforce Ventures, Battery Ventures, Oak HC/FT","Battery Ventures, Headline, Hetz Ventures, Oak HC/FT, Salesforce Ventures"
"Fermi America","Feb 19, 2026","$800,000,000","Not Started","Artificial Intelligence (AI), Data Center, Energy, Energy Management, Power Grid","Amarillo, Texas, United States","Fermi America builds energy and AI infrastructure to power next-gen data centers using nuclear, gas, solar, and grid-based solutions.","316","https://fermiamerica.com/","—","MUFG Bank, Macquarie Group, Keystone National Group","Keystone National Group, Macquarie Group, MUFG Bank"
"SHINE Technologies","Feb 26, 2026","$1,014,211,946","Not Started","Biotechnology, Energy, Health Care, Manufacturing, Medical, Medical Device, Pharmaceutical","Janesville, Wisconsin, United States","SHINE Technologies develops fusion technology to inspect industrial components, produce medical isotopes, and generate fusion energy.","320","https://www.shinefusion.com/","$10M to $50M","Alumni Ventures, National Science Foundation, Fidelity, Oaktree Capital Management, Deerfield","ARPA-E, Baillie Gifford, Deerfield, Fidelity, Government of the Netherlands, Koch Disruptive Technologies, NantWorks, National Nuclear Security Administration, National Science Foundation, Oaktree Capital Management, US Department of Energy"
"Citadel","Feb 12, 2026","$1,250,040,472","Not Started","Finance, Financial Services, Hedge Funds, Impact Investing, Wealth Management","Miami, Florida, United States","Citadel is one of the world's leading alternative investment firms,pursuing long-term returns for preeminent public and private institutions","328","https://www.citadel.com/","$10M to $50M","Northstar Ventures","—"
"Turnstile","Feb 5, 2026","$51,810,000","Not Started","FinTech, SaaS, Software","San Francisco, California, United States","Modern revenue automation in minutes","329","https://www.tryturnstile.com/","$1M to $10M","Illuminate Financial, Flex Capital, OMERS Ventures, First Round Capital","—"
"Braintrust","Feb 17, 2026","$121,100,000","Not Started","Artificial Intelligence (AI), Data Integration, Data Management","San Francisco, California, United States","Braintrust is an AI-native observability startup that helps teams measure, evaluate, and improve AI models and products.","334","https://www.braintrust.dev/","—","Andreessen Horowitz, BoxGroup, Greylock, ICONIQ Capital, basecase capital","Andreessen Horowitz, Greylock, ICONIQ Capital"
"DG Matrix","Feb 18, 2026","$80,000,000","Not Started","Charging Infrastructure, Clean Energy, Data Center, Electrical Distribution, Energy Efficiency, Energy Management, Manufacturing, Power Grid, Sustainability","Raleigh, North Carolina, United States","DG Matrix develops solid-state power conversion systems for electric vehicle charging and distributed energy applications.","340","https://dgmatrix.com/","—","Sabanci Climate Ventures, Engine Ventures, Clean Energy Ventures, ABB, Cerberus Capital Management","Clean Energy Ventures, Engine Ventures, Joules Accelerator"
"ProSomnus Sleep Technologies","Feb 18, 2026","$97,225,000","Not Started","Health Care, Medical, Medical Device","Pleasanton, California, United States","ProSomnus designs and manufactures intraoral devices designed to help dentists get patients into therapy with comfort.","343","http://prosomnus.com/","$10M to $50M","Catalio Capital Management, Spring Mountain Capital, Cohanzick Management, Cetus Capital, CrossingBridge Advisors","Catalio Capital Management, Cetus Capital, Cohanzick Management, CrossingBridge Advisors, Spring Mountain Capital"
"Energy Vault","Feb 11, 2026","$1,261,500,000","Not Started","Energy, Energy Management, Energy Storage, Finance, Financial Services, Impact Investing, Renewable Energy","Lugano, Ticino, Switzerland","Energy Vault offers a utility-scale, gravity-based storage solution for renewable energy.","356","https://energyvault.com/","$10M to $50M","Adage Capital Management, SoftBank Vision Fund, Atlas Renewable Energy, Palantir Technologies, SoftBank Group","Atlas Renewable Energy, Cemex Ventures, Helena, Idealab, Korea Zinc, OIC, Prime Movers Lab, Saudi Aramco Energy Ventures, SoftBank Vision Fund"
"Cogent Security","Feb 18, 2026","$53,000,000","Not Started","Artificial Intelligence (AI), Computer, Network Security, Software","San Francisco, California, United States","Cogent Security utilizes AI agents to manage vulnerabilities by connecting scanners and prioritizing fixes.","358","https://www.cogent.security/","—","Bain Capital Ventures, Greylock, Definition, Lockstep","Bain Capital Ventures, Greylock"
